Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW539,01/11/2014,,Grab,Water,0.2,Chloride - 00940,40,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Water,0.2,Dissolved Oxygen - 00300,0.6,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Nutrient sample taken.,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,Nutrient sample taken.,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.035,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.130,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",25,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,Nutrient sample taken.,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",367,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Water,0.2,Temperature - 00011,-0.4,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Old Catch Basin
WW539,01/11/2014,8:15,Grab,Air,,Temperature - 00011,9.1,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Old Catch Basin
WW538,01/12/2014,12:30,Grab,Water,0.2,Dissolved Oxygen - 00300,7.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Buckeye Brook @ Lakeshore Dr (culvert)
